# Verdicts of the SHELL git-guard.sh, frozen at the commit that replaced
# it with the Go port. blocked<TAB>command, tabs and newlines escaped.
#
# This is the boundary, not a convenience: once the shell implementation
# is deleted its behaviour is unrecoverable, and a security guard whose
# only spec is its own source can drift in either direction — a hole or a
# false refusal — with nothing to notice. Regenerating this file is not a
# way to make a failing test pass. A row that legitimately changes gets
# edited by hand, in a commit that says why.
block	git commit
block	git commit -am probe
block	git push
block	git push -am probe
block	git checkout
block	git checkout -am probe
block	git switch
block	git switch -am probe
block	git stash
block	git stash -am probe
block	git restore
block	git restore -am probe
block	git add
block	git add -am probe
block	git rm
block	git rm -am probe
block	git mv
block	git mv -am probe
block	git reset
block	git reset -am probe
block	git rebase
block	git rebase -am probe
block	git merge
block	git merge -am probe
block	git cherry-pick
block	git cherry-pick -am probe
block	git revert
block	git revert -am probe
block	git tag
block	git tag -am probe
block	git branch
allow	git branch -am probe
block	git worktree
block	git worktree -am probe
block	git clean
block	git clean -am probe
block	git filter-branch
block	git filter-branch -am probe
block	git update-ref
block	git update-ref -am probe
block	git apply
block	git apply -am probe
block	git am
block	git am -am probe
block	git fetch
block	git fetch -am probe
block	git pull
block	git pull -am probe
block	git clone
block	git clone -am probe
block	git remote
block	git remote -am probe
block	git submodule
block	git submodule -am probe
block	git config
block	git config -am probe
block	git gc
block	git gc -am probe
block	git prune
block	git prune -am probe
block	git reflog
block	git reflog -am probe
block	git notes
block	git notes -am probe
block	git replace
block	git replace -am probe
block	git sparse-checkout
block	git sparse-checkout -am probe
block	git bisect
block	git bisect -am probe
allow	git log
allow	git log --oneline -5
allow	git show
allow	git show --oneline -5
allow	git diff
allow	git diff --oneline -5
allow	git blame
allow	git blame --oneline -5
allow	git status
allow	git status --oneline -5
allow	git ls-files
allow	git ls-files --oneline -5
allow	git rev-parse
allow	git rev-parse --oneline -5
allow	git describe
allow	git describe --oneline -5
allow	git shortlog
allow	git shortlog --oneline -5
allow	git grep
allow	git grep --oneline -5
allow	git cat-file
allow	git cat-file --oneline -5
allow	git worktree list
allow	git branch -a
allow	git branch -l
allow	git branch -v
allow	git branch -r
allow	git branch --list
allow	git remote -v
allow	git remote --verbose
allow	git remote show
allow	git config --get user.name
allow	git config --get-all user.name
allow	git config --list
allow	git config -l
allow	git -C /tmp worktree list
allow	git -C /tmp branch -a
allow	git -C /tmp branch -l
allow	git -C /tmp branch -v
allow	git -C /tmp branch -r
allow	git -C /tmp branch --list
allow	git -C /tmp remote -v
allow	git -C /tmp remote --verbose
allow	git -C /tmp remote show
allow	git -C /tmp config --get user.name
allow	git -C /tmp config --get-all user.name
allow	git -C /tmp config --list
allow	git -C /tmp config -l
block	git -C /tmp commit
allow	git -C /tmp log
allow	git -C /tmp/repo worktree list
allow	git -C /tmp/repo branch -a
allow	git -C /tmp/repo branch -l
allow	git -C /tmp/repo branch -v
allow	git -C /tmp/repo branch -r
allow	git -C /tmp/repo branch --list
allow	git -C /tmp/repo remote -v
allow	git -C /tmp/repo remote --verbose
allow	git -C /tmp/repo remote show
allow	git -C /tmp/repo config --get user.name
allow	git -C /tmp/repo config --get-all user.name
allow	git -C /tmp/repo config --list
allow	git -C /tmp/repo config -l
block	git -C /tmp/repo commit
allow	git -C /tmp/repo log
allow	git -c user.name=x worktree list
allow	git -c user.name=x branch -a
allow	git -c user.name=x branch -l
allow	git -c user.name=x branch -v
allow	git -c user.name=x branch -r
allow	git -c user.name=x branch --list
allow	git -c user.name=x remote -v
allow	git -c user.name=x remote --verbose
allow	git -c user.name=x remote show
allow	git -c user.name=x config --get user.name
allow	git -c user.name=x config --get-all user.name
allow	git -c user.name=x config --list
allow	git -c user.name=x config -l
block	git -c user.name=x commit
allow	git -c user.name=x log
allow	git -c a.b=c -c d.e=f worktree list
allow	git -c a.b=c -c d.e=f branch -a
allow	git -c a.b=c -c d.e=f branch -l
allow	git -c a.b=c -c d.e=f branch -v
allow	git -c a.b=c -c d.e=f branch -r
allow	git -c a.b=c -c d.e=f branch --list
allow	git -c a.b=c -c d.e=f remote -v
allow	git -c a.b=c -c d.e=f remote --verbose
allow	git -c a.b=c -c d.e=f remote show
allow	git -c a.b=c -c d.e=f config --get user.name
allow	git -c a.b=c -c d.e=f config --get-all user.name
allow	git -c a.b=c -c d.e=f config --list
allow	git -c a.b=c -c d.e=f config -l
block	git -c a.b=c -c d.e=f commit
allow	git -c a.b=c -c d.e=f log
allow	git --git-dir=/tmp/.git worktree list
allow	git --git-dir=/tmp/.git branch -a
allow	git --git-dir=/tmp/.git branch -l
allow	git --git-dir=/tmp/.git branch -v
allow	git --git-dir=/tmp/.git branch -r
allow	git --git-dir=/tmp/.git branch --list
allow	git --git-dir=/tmp/.git remote -v
allow	git --git-dir=/tmp/.git remote --verbose
allow	git --git-dir=/tmp/.git remote show
allow	git --git-dir=/tmp/.git config --get user.name
allow	git --git-dir=/tmp/.git config --get-all user.name
allow	git --git-dir=/tmp/.git config --list
allow	git --git-dir=/tmp/.git config -l
block	git --git-dir=/tmp/.git commit
allow	git --git-dir=/tmp/.git log
allow	git --work-tree=/tmp worktree list
allow	git --work-tree=/tmp branch -a
allow	git --work-tree=/tmp branch -l
allow	git --work-tree=/tmp branch -v
allow	git --work-tree=/tmp branch -r
allow	git --work-tree=/tmp branch --list
allow	git --work-tree=/tmp remote -v
allow	git --work-tree=/tmp remote --verbose
allow	git --work-tree=/tmp remote show
allow	git --work-tree=/tmp config --get user.name
allow	git --work-tree=/tmp config --get-all user.name
allow	git --work-tree=/tmp config --list
allow	git --work-tree=/tmp config -l
block	git --work-tree=/tmp commit
allow	git --work-tree=/tmp log
allow	git --no-pager worktree list
allow	git --no-pager branch -a
allow	git --no-pager branch -l
allow	git --no-pager branch -v
allow	git --no-pager branch -r
allow	git --no-pager branch --list
allow	git --no-pager remote -v
allow	git --no-pager remote --verbose
allow	git --no-pager remote show
allow	git --no-pager config --get user.name
allow	git --no-pager config --get-all user.name
allow	git --no-pager config --list
allow	git --no-pager config -l
block	git --no-pager commit
allow	git --no-pager log
allow	git -C /tmp -c a.b=c worktree list
allow	git -C /tmp -c a.b=c branch -a
allow	git -C /tmp -c a.b=c branch -l
allow	git -C /tmp -c a.b=c branch -v
allow	git -C /tmp -c a.b=c branch -r
allow	git -C /tmp -c a.b=c branch --list
allow	git -C /tmp -c a.b=c remote -v
allow	git -C /tmp -c a.b=c remote --verbose
allow	git -C /tmp -c a.b=c remote show
allow	git -C /tmp -c a.b=c config --get user.name
allow	git -C /tmp -c a.b=c config --get-all user.name
allow	git -C /tmp -c a.b=c config --list
allow	git -C /tmp -c a.b=c config -l
block	git -C /tmp -c a.b=c commit
allow	git -C /tmp -c a.b=c log
allow	git --git-dir=/tmp/.git -C /tmp worktree list
allow	git --git-dir=/tmp/.git -C /tmp branch -a
allow	git --git-dir=/tmp/.git -C /tmp branch -l
allow	git --git-dir=/tmp/.git -C /tmp branch -v
allow	git --git-dir=/tmp/.git -C /tmp branch -r
allow	git --git-dir=/tmp/.git -C /tmp branch --list
allow	git --git-dir=/tmp/.git -C /tmp remote -v
allow	git --git-dir=/tmp/.git -C /tmp remote --verbose
allow	git --git-dir=/tmp/.git -C /tmp remote show
allow	git --git-dir=/tmp/.git -C /tmp config --get user.name
allow	git --git-dir=/tmp/.git -C /tmp config --get-all user.name
allow	git --git-dir=/tmp/.git -C /tmp config --list
allow	git --git-dir=/tmp/.git -C /tmp config -l
block	git --git-dir=/tmp/.git -C /tmp commit
allow	git --git-dir=/tmp/.git -C /tmp log
block	sudo git commit
block	sudo git -C /tmp commit
allow	sudo git worktree list
allow	sudo git -C /tmp worktree list
allow	sudo git log
allow	sudo git -C /tmp log
allow	sudo git branch -a
allow	sudo git -C /tmp branch -a
allow	sudo git remote -v
allow	sudo git -C /tmp remote -v
allow	sudo git config --get user.name
allow	sudo git -C /tmp config --get user.name
block	env FOO=1 git commit
block	env FOO=1 git -C /tmp commit
allow	env FOO=1 git worktree list
allow	env FOO=1 git -C /tmp worktree list
allow	env FOO=1 git log
allow	env FOO=1 git -C /tmp log
allow	env FOO=1 git branch -a
allow	env FOO=1 git -C /tmp branch -a
allow	env FOO=1 git remote -v
allow	env FOO=1 git -C /tmp remote -v
allow	env FOO=1 git config --get user.name
allow	env FOO=1 git -C /tmp config --get user.name
block	env FOO=1 BAR=2 git commit
block	env FOO=1 BAR=2 git -C /tmp commit
allow	env FOO=1 BAR=2 git worktree list
allow	env FOO=1 BAR=2 git -C /tmp worktree list
allow	env FOO=1 BAR=2 git log
allow	env FOO=1 BAR=2 git -C /tmp log
allow	env FOO=1 BAR=2 git branch -a
allow	env FOO=1 BAR=2 git -C /tmp branch -a
allow	env FOO=1 BAR=2 git remote -v
allow	env FOO=1 BAR=2 git -C /tmp remote -v
allow	env FOO=1 BAR=2 git config --get user.name
allow	env FOO=1 BAR=2 git -C /tmp config --get user.name
block	cd /tmp && git commit
block	cd /tmp && git -C /tmp commit
allow	cd /tmp && git worktree list
allow	cd /tmp && git -C /tmp worktree list
allow	cd /tmp && git log
allow	cd /tmp && git -C /tmp log
allow	cd /tmp && git branch -a
allow	cd /tmp && git -C /tmp branch -a
allow	cd /tmp && git remote -v
allow	cd /tmp && git -C /tmp remote -v
allow	cd /tmp && git config --get user.name
allow	cd /tmp && git -C /tmp config --get user.name
block	true; git commit
block	true; git -C /tmp commit
allow	true; git worktree list
allow	true; git -C /tmp worktree list
allow	true; git log
allow	true; git -C /tmp log
allow	true; git branch -a
